bag of sift, 100, 5, RGB, support vector machine, 1.000000, 0.502667 
bag of sift, 100, 5, RGB, support vector machine, 0.100000, 0.566000 
bag of sift, 100, 5, RGB, support vector machine, 0.010000, 0.525333 
bag of sift, 100, 5, RGB, support vector machine, 0.001000, 0.538000 
bag of sift, 100, 5, RGB, support vector machine, 0.000100, 0.564000 
bag of sift, 100, 5, RGB, support vector machine, 0.000010, 0.546000 
bag of sift, 100, 5, RGB, support vector machine, 0.000110, 0.545333 
bag of sift, 100, 5, RGB, support vector machine, 0.000010, 0.561333 
bag of sift, 100, 5, RGB, support vector machine, 0.000020, 0.576667 
bag of sift, 100, 5, RGB, support vector machine, 0.000030, 0.526667 
bag of sift, 100, 5, RGB, support vector machine, 0.000040, 0.535333 
bag of sift, 100, 5, RGB, support vector machine, 0.000050, 0.564667 
bag of sift, 100, 5, RGB, nearest neighbor, 1.000000, 0.497333 
bag of sift, 100, 5, RGB, nearest neighbor, 2.000000, 0.466000 
bag of sift, 100, 5, RGB, nearest neighbor, 3.000000, 0.499333 
bag of sift, 100, 5, RGB, nearest neighbor, 4.000000, 0.502000 
bag of sift, 100, 5, RGB, nearest neighbor, 5.000000, 0.512000 
bag of sift, 100, 5, RGB, nearest neighbor, 6.000000, 0.510000 
bag of sift, 100, 5, RGB, nearest neighbor, 7.000000, 0.496667 
bag of sift, 100, 5, RGB, nearest neighbor, 8.000000, 0.504667 
bag of sift, 100, 5, RGB, nearest neighbor, 9.000000, 0.500000 
bag of sift, 100, 5, RGB, nearest neighbor, 10.000000, 0.513333 
bag of sift, 100, 5, RGB, nearest neighbor, 11.000000, 0.514000 
bag of sift, 100, 5, RGB, nearest neighbor, 12.000000, 0.523333 
bag of sift, 100, 5, RGB, nearest neighbor, 13.000000, 0.522667 
bag of sift, 100, 5, RGB, nearest neighbor, 14.000000, 0.517333 
bag of sift, 100, 5, RGB, nearest neighbor, 15.000000, 0.518667 
bag of sift, 100, 5, RGB, support vector machine, 10.000000, 0.480667 
bag of sift, 100, 5, RGB, support vector machine, 1.000000, 0.555333 
bag of sift, 100, 5, RGB, support vector machine, 0.100000, 0.508000 
bag of sift, 100, 5, RGB, support vector machine, 0.010000, 0.560000 
bag of sift, 100, 5, RGB, support vector machine, 0.001000, 0.496000 
bag of sift, 100, 5, RGB, support vector machine, 0.000100, 0.525333 
bag of sift, 100, 5, RGB, support vector machine, 0.000010, 0.529333 
bag of sift, 100, 5, RGB, support vector machine, 0.000110, 0.546667 
bag of sift, 100, 5, RGB, support vector machine, 0.000010, 0.496667 
bag of sift, 100, 5, RGB, support vector machine, 0.000020, 0.542000 
bag of sift, 100, 5, RGB, support vector machine, 0.000030, 0.526667 
bag of sift, 100, 5, RGB, support vector machine, 0.000040, 0.477333 
bag of sift, 100, 5, RGB, support vector machine, 0.000050, 0.503333 
bag of sift, 100, 5, RGB, nearest neighbor, 1.000000, 0.496667 
bag of sift, 100, 5, RGB, nearest neighbor, 2.000000, 0.462667 
bag of sift, 100, 5, RGB, nearest neighbor, 3.000000, 0.486667 
bag of sift, 100, 5, RGB, nearest neighbor, 4.000000, 0.510667 
bag of sift, 100, 5, RGB, nearest neighbor, 5.000000, 0.518000 
bag of sift, 100, 5, RGB, nearest neighbor, 6.000000, 0.521333 
bag of sift, 100, 5, RGB, nearest neighbor, 7.000000, 0.509333 
