FEATURE,VOCAB_SIZE,FEATURE_STEP_SIZE,STEP_SIZE,COLOUR_SPACE,USE_PHOW,CLASSIFIER,k/LAMBDA,accuracy
bag of sift, 100, 5, 100, GRAYSCALE, 0, support vector machine, 0.000020, 0.472000 
bag of sift, 100, 5, 100, GRAYSCALE, 0, support vector machine, 0.000030, 0.512000 
bag of sift, 100, 5, 100, GRAYSCALE, 0, support vector machine, 0.000040, 0.511333 
bag of sift, 100, 5, 100, GRAYSCALE, 0, support vector machine, 0.000050, 0.512667 
bag of sift, 100, 5, 200, GRAYSCALE, 0, support vector machine, 10.000000, 0.578667 
bag of sift, 100, 5, 200, GRAYSCALE, 0, support vector machine, 1.000000, 0.576000 
bag of sift, 100, 5, 200, GRAYSCALE, 0, support vector machine, 0.100000, 0.490000 
bag of sift, 100, 5, 200, GRAYSCALE, 0, support vector machine, 0.010000, 0.506667 
bag of sift, 100, 5, 200, GRAYSCALE, 0, support vector machine, 0.001000, 0.522000 
bag of sift, 100, 5, 200, GRAYSCALE, 0, support vector machine, 0.000100, 0.493333 
bag of sift, 100, 5, 200, GRAYSCALE, 0, support vector machine, 0.000010, 0.504667 
bag of sift, 100, 5, 200, GRAYSCALE, 0, support vector machine, 0.000110, 0.496000 
bag of sift, 100, 5, 200, GRAYSCALE, 0, support vector machine, 0.000010, 0.486000 
bag of sift, 100, 5, 200, GRAYSCALE, 0, support vector machine, 0.000020, 0.503333 
bag of sift, 100, 5, 200, GRAYSCALE, 0, support vector machine, 0.000030, 0.473333 
bag of sift, 100, 5, 200, GRAYSCALE, 0, support vector machine, 0.000040, 0.468000 
bag of sift, 100, 5, 200, GRAYSCALE, 0, support vector machine, 0.000050, 0.507333 
bag of sift, 100, 5, 10, RGB, 0, support vector machine, 10.000000, 0.624667 
bag of sift, 100, 5, 10, RGB, 0, support vector machine, 1.000000, 0.549333 
bag of sift, 100, 5, 10, RGB, 0, support vector machine, 0.100000, 0.505333 
bag of sift, 100, 5, 10, RGB, 0, support vector machine, 0.010000, 0.536667 
bag of sift, 100, 5, 10, RGB, 0, support vector machine, 0.001000, 0.531333 
bag of sift, 100, 5, 10, RGB, 0, support vector machine, 0.000100, 0.532667 
bag of sift, 100, 5, 10, RGB, 0, support vector machine, 0.000010, 0.550667 
bag of sift, 100, 5, 10, RGB, 0, support vector machine, 0.000110, 0.467333 
bag of sift, 100, 5, 10, RGB, 0, support vector machine, 0.000010, 0.558667 
bag of sift, 100, 5, 10, RGB, 0, support vector machine, 0.000020, 0.526000 
bag of sift, 100, 5, 10, RGB, 0, support vector machine, 0.000030, 0.542667 
bag of sift, 100, 5, 10, RGB, 0, support vector machine, 0.000040, 0.408000 
bag of sift, 100, 5, 10, RGB, 0, support vector machine, 0.000050, 0.489333 
bag of sift, 100, 5, 100, RGB, 0, support vector machine, 10.000000, 0.632667 
bag of sift, 100, 5, 100, RGB, 0, support vector machine, 1.000000, 0.514000 
bag of sift, 100, 5, 100, RGB, 0, support vector machine, 0.100000, 0.519333 
bag of sift, 100, 5, 100, RGB, 0, support vector machine, 0.010000, 0.551333 
bag of sift, 100, 5, 100, RGB, 0, support vector machine, 0.001000, 0.521333 
bag of sift, 100, 5, 100, RGB, 0, support vector machine, 0.000100, 0.516000 
bag of sift, 100, 5, 100, RGB, 0, support vector machine, 0.000010, 0.494667 
bag of sift, 100, 5, 100, RGB, 0, support vector machine, 0.000110, 0.536667 
bag of sift, 100, 5, 100, RGB, 0, support vector machine, 0.000010, 0.516000 
bag of sift, 100, 5, 100, RGB, 0, support vector machine, 0.000020, 0.574000 
bag of sift, 100, 5, 100, RGB, 0, support vector machine, 0.000030, 0.526000 
bag of sift, 100, 5, 100, RGB, 0, support vector machine, 0.000040, 0.577333 
bag of sift, 100, 5, 100, RGB, 0, support vector machine, 0.000050, 0.542000 
bag of sift, 100, 5, 200, RGB, 0, support vector machine, 10.000000, 0.626667 
bag of sift, 100, 5, 200, RGB, 0, support vector machine, 1.000000, 0.562667 
bag of sift, 100, 5, 200, RGB, 0, support vector machine, 0.100000, 0.518667 
bag of sift, 100, 5, 200, RGB, 0, support vector machine, 0.010000, 0.528667 
bag of sift, 100, 5, 200, RGB, 0, support vector machine, 0.001000, 0.556000 
bag of sift, 100, 5, 200, RGB, 0, support vector machine, 0.000100, 0.569333 
