FEATURE,VOCAB_SIZE,MAX_LEVEL,FEATURE_STEP_SIZE,STEP_SIZE,COLOUR_SPACE,USE_PHOW,CLASSIFIER,k/LAMBDA,accuracy
spatial pyramid, 400, 1, 5, 10, RGB, 0, support vector machine, 0.001000, 0.620667 
spatial pyramid, 400, 1, 5, 10, RGB, 0, support vector machine, 0.000100, 0.620000 
spatial pyramid, 400, 1, 5, 10, RGB, 0, support vector machine, 0.000010, 0.622667 
spatial pyramid, 400, 1, 5, 10, RGB, 0, support vector machine, 0.000110, 0.616000 
spatial pyramid, 400, 1, 5, 10, RGB, 0, support vector machine, 0.000010, 0.623333 
spatial pyramid, 400, 1, 5, 10, RGB, 0, support vector machine, 0.000020, 0.614000 
spatial pyramid, 400, 1, 5, 10, RGB, 0, support vector machine, 0.000030, 0.620667 
spatial pyramid, 400, 1, 5, 10, RGB, 0, support vector machine, 0.000040, 0.624000 
spatial pyramid, 400, 1, 5, 10, RGB, 0, support vector machine, 0.000050, 0.621333 
spatial pyramid, 400, 1, 5, 10, RGB, 0, nearest neighbor, 1, 0.526000 
spatial pyramid, 400, 1, 5, 10, RGB, 0, nearest neighbor, 2, 0.488000 
spatial pyramid, 400, 1, 5, 10, RGB, 0, nearest neighbor, 3, 0.508000 
spatial pyramid, 400, 1, 5, 10, RGB, 0, nearest neighbor, 4, 0.526667 
spatial pyramid, 400, 1, 5, 10, RGB, 0, nearest neighbor, 5, 0.536667 
spatial pyramid, 400, 1, 5, 10, RGB, 0, nearest neighbor, 6, 0.544000 
spatial pyramid, 400, 1, 5, 10, RGB, 0, nearest neighbor, 7, 0.536667 
spatial pyramid, 400, 1, 5, 10, RGB, 0, nearest neighbor, 8, 0.532667 
spatial pyramid, 400, 1, 5, 10, RGB, 0, nearest neighbor, 9, 0.538000 
spatial pyramid, 400, 1, 5, 10, RGB, 0, nearest neighbor, 10, 0.538000 
spatial pyramid, 400, 1, 5, 10, RGB, 0, nearest neighbor, 11, 0.540000 
spatial pyramid, 400, 1, 5, 10, RGB, 0, nearest neighbor, 12, 0.546667 
spatial pyramid, 400, 1, 5, 10, RGB, 0, nearest neighbor, 13, 0.545333 
spatial pyramid, 400, 1, 5, 10, RGB, 0, nearest neighbor, 14, 0.540000 
spatial pyramid, 400, 1, 5, 10, RGB, 0, nearest neighbor, 15, 0.540667 
spatial pyramid, 1000, 1, 5, 10, RGB, 0, support vector machine, 10.000000, 0.672000 
spatial pyramid, 1000, 1, 5, 10, RGB, 0, support vector machine, 1.000000, 0.670667 
spatial pyramid, 1000, 1, 5, 10, RGB, 0, support vector machine, 0.100000, 0.676000 
spatial pyramid, 1000, 1, 5, 10, RGB, 0, support vector machine, 0.010000, 0.668000 
spatial pyramid, 1000, 1, 5, 10, RGB, 0, support vector machine, 0.001000, 0.676000 
spatial pyramid, 1000, 1, 5, 10, RGB, 0, support vector machine, 0.000100, 0.670000 
spatial pyramid, 1000, 1, 5, 10, RGB, 0, support vector machine, 0.000010, 0.674667 
spatial pyramid, 1000, 1, 5, 10, RGB, 0, support vector machine, 0.000110, 0.668667 
spatial pyramid, 1000, 1, 5, 10, RGB, 0, support vector machine, 0.000010, 0.672000 
spatial pyramid, 1000, 1, 5, 10, RGB, 0, support vector machine, 0.000020, 0.678000 
spatial pyramid, 1000, 1, 5, 10, RGB, 0, support vector machine, 0.000030, 0.672667 
spatial pyramid, 1000, 1, 5, 10, RGB, 0, support vector machine, 0.000040, 0.672667 
spatial pyramid, 1000, 1, 5, 10, RGB, 0, support vector machine, 0.000050, 0.674667 
spatial pyramid, 1000, 1, 5, 10, RGB, 0, nearest neighbor, 1, 0.509333 
spatial pyramid, 1000, 1, 5, 10, RGB, 0, nearest neighbor, 2, 0.487333 
