FEATURE,VOCAB_SIZE,MAX_LEVEL,FEATURE_STEP_SIZE,STEP_SIZE,COLOUR_SPACE,USE_PHOW,CLASSIFIER,k/LAMBDA,accuracy
spatial pyramid, 1000, 2, 5, 10, RGB, 0, support vector machine, 0.000030, 0.700000 
spatial pyramid, 1000, 2, 5, 10, RGB, 0, support vector machine, 0.000040, 0.706000 
spatial pyramid, 1000, 2, 5, 10, RGB, 0, support vector machine, 0.000050, 0.710667 
spatial pyramid, 100, 2, 5, 100, GRAYSCALE, 0, support vector machine, 10.000000, 0.544667 
spatial pyramid, 100, 2, 5, 100, GRAYSCALE, 0, support vector machine, 1.000000, 0.628000 
spatial pyramid, 100, 2, 5, 100, GRAYSCALE, 0, support vector machine, 0.100000, 0.615333 
spatial pyramid, 100, 2, 5, 100, GRAYSCALE, 0, support vector machine, 0.010000, 0.578000 
spatial pyramid, 100, 2, 5, 100, GRAYSCALE, 0, support vector machine, 0.001000, 0.559333 
spatial pyramid, 100, 2, 5, 100, GRAYSCALE, 0, support vector machine, 0.000100, 0.567333 
spatial pyramid, 100, 2, 5, 100, GRAYSCALE, 0, support vector machine, 0.000010, 0.569333 
spatial pyramid, 100, 2, 5, 100, GRAYSCALE, 0, support vector machine, 0.000110, 0.564000 
spatial pyramid, 100, 2, 5, 100, GRAYSCALE, 0, support vector machine, 0.000010, 0.568667 
spatial pyramid, 100, 2, 5, 100, GRAYSCALE, 0, support vector machine, 0.000020, 0.581333 
spatial pyramid, 100, 2, 5, 100, GRAYSCALE, 0, support vector machine, 0.000030, 0.562667 
spatial pyramid, 100, 2, 5, 100, GRAYSCALE, 0, support vector machine, 0.000040, 0.572000 
spatial pyramid, 100, 2, 5, 100, GRAYSCALE, 0, support vector machine, 0.000050, 0.550667 
spatial pyramid, 1000, 2, 5, 100, GRAYSCALE, 0, support vector machine, 10.000000, 0.508667 
spatial pyramid, 1000, 2, 5, 100, GRAYSCALE, 0, support vector machine, 1.000000, 0.661333 
spatial pyramid, 1000, 2, 5, 100, GRAYSCALE, 0, support vector machine, 0.100000, 0.691333 
spatial pyramid, 1000, 2, 5, 100, GRAYSCALE, 0, support vector machine, 0.010000, 0.675333 
spatial pyramid, 1000, 2, 5, 100, GRAYSCALE, 0, support vector machine, 0.001000, 0.688000 
spatial pyramid, 1000, 2, 5, 100, GRAYSCALE, 0, support vector machine, 0.000100, 0.680000 
spatial pyramid, 1000, 2, 5, 100, GRAYSCALE, 0, support vector machine, 0.000010, 0.680667 
spatial pyramid, 1000, 2, 5, 100, GRAYSCALE, 0, support vector machine, 0.000110, 0.677333 
spatial pyramid, 1000, 2, 5, 100, GRAYSCALE, 0, support vector machine, 0.000010, 0.678667 
spatial pyramid, 1000, 2, 5, 100, GRAYSCALE, 0, support vector machine, 0.000020, 0.680667 
spatial pyramid, 1000, 2, 5, 100, GRAYSCALE, 0, support vector machine, 0.000030, 0.682667 
spatial pyramid, 1000, 2, 5, 100, GRAYSCALE, 0, support vector machine, 0.000040, 0.686667 
spatial pyramid, 1000, 2, 5, 100, GRAYSCALE, 0, support vector machine, 0.000050, 0.680667 
spatial pyramid, 100, 2, 5, 100, RGB, 0, support vector machine, 10.000000, 0.667333 
spatial pyramid, 100, 2, 5, 100, RGB, 0, support vector machine, 1.000000, 0.692000 
spatial pyramid, 100, 2, 5, 100, RGB, 0, support vector machine, 0.100000, 0.630667 
spatial pyramid, 100, 2, 5, 100, RGB, 0, support vector machine, 0.010000, 0.661333 
spatial pyramid, 100, 2, 5, 100, RGB, 0, support vector machine, 0.001000, 0.649333 
spatial pyramid, 100, 2, 5, 100, RGB, 0, support vector machine, 0.000100, 0.653333 
spatial pyramid, 100, 2, 5, 100, RGB, 0, support vector machine, 0.000010, 0.659333 
spatial pyramid, 100, 2, 5, 100, RGB, 0, support vector machine, 0.000110, 0.648000 
spatial pyramid, 100, 2, 5, 100, RGB, 0, support vector machine, 0.000010, 0.632667 
spatial pyramid, 100, 2, 5, 100, RGB, 0, support vector machine, 0.000020, 0.660000 
spatial pyramid, 100, 2, 5, 100, RGB, 0, support vector machine, 0.000030, 0.638667 
spatial pyramid, 100, 2, 5, 100, RGB, 0, support vector machine, 0.000040, 0.644000 
spatial pyramid, 100, 2, 5, 100, RGB, 0, support vector machine, 0.000050, 0.616667 
spatial pyramid, 1000, 2, 5, 100, RGB, 0, support vector machine, 10.000000, 0.640667 
spatial pyramid, 1000, 2, 5, 100, RGB, 0, support vector machine, 1.000000, 0.717333 
spatial pyramid, 1000, 2, 5, 100, RGB, 0, support vector machine, 0.100000, 0.703333 
spatial pyramid, 1000, 2, 5, 100, RGB, 0, support vector machine, 0.010000, 0.703333 
spatial pyramid, 1000, 2, 5, 100, RGB, 0, support vector machine, 0.001000, 0.706667 
spatial pyramid, 1000, 2, 5, 100, RGB, 0, support vector machine, 0.000100, 0.706000 
spatial pyramid, 1000, 2, 5, 100, RGB, 0, support vector machine, 0.000010, 0.706667 
spatial pyramid, 1000, 2, 5, 100, RGB, 0, support vector machine, 0.000110, 0.696000 
spatial pyramid, 1000, 2, 5, 100, RGB, 0, support vector machine, 0.000010, 0.704000 
spatial pyramid, 1000, 2, 5, 100, RGB, 0, support vector machine, 0.000020, 0.703333 
spatial pyramid, 1000, 2, 5, 100, RGB, 0, support vector machine, 0.000030, 0.702000 
spatial pyramid, 1000, 2, 5, 100, RGB, 0, support vector machine, 0.000040, 0.704000 
spatial pyramid, 1000, 2, 5, 100, RGB, 0, support vector machine, 0.000050, 0.706667 

spatial pyramid, 100, 3, 5, 10, GRAYSCALE, 0, support vector machine, 10.000000, 0.472000 
spatial pyramid, 100, 3, 5, 10, GRAYSCALE, 0, support vector machine, 1.000000, 0.588667 
spatial pyramid, 100, 3, 5, 10, GRAYSCALE, 0, support vector machine, 0.100000, 0.636667 
spatial pyramid, 100, 3, 5, 10, GRAYSCALE, 0, support vector machine, 0.010000, 0.602000 
spatial pyramid, 100, 3, 5, 10, GRAYSCALE, 0, support vector machine, 0.001000, 0.594000 
spatial pyramid, 100, 3, 5, 10, GRAYSCALE, 0, support vector machine, 0.000100, 0.589333 
spatial pyramid, 100, 3, 5, 10, GRAYSCALE, 0, support vector machine, 0.000010, 0.579333 
spatial pyramid, 100, 3, 5, 10, GRAYSCALE, 0, support vector machine, 0.000110, 0.584000 
spatial pyramid, 100, 3, 5, 10, GRAYSCALE, 0, support vector machine, 0.000010, 0.598667 
spatial pyramid, 100, 3, 5, 10, GRAYSCALE, 0, support vector machine, 0.000020, 0.585333 
spatial pyramid, 100, 3, 5, 10, GRAYSCALE, 0, support vector machine, 0.000030, 0.590000 
spatial pyramid, 100, 3, 5, 10, GRAYSCALE, 0, support vector machine, 0.000040, 0.588000 
spatial pyramid, 100, 3, 5, 10, GRAYSCALE, 0, support vector machine, 0.000050, 0.582667 
spatial pyramid, 1000, 3, 5, 10, GRAYSCALE, 0, support vector machine, 10.000000, 0.410667 
spatial pyramid, 1000, 3, 5, 10, GRAYSCALE, 0, support vector machine, 1.000000, 0.584000 
spatial pyramid, 1000, 3, 5, 10, GRAYSCALE, 0, support vector machine, 0.100000, 0.696667 
spatial pyramid, 1000, 3, 5, 10, GRAYSCALE, 0, support vector machine, 0.010000, 0.702667 
spatial pyramid, 1000, 3, 5, 10, GRAYSCALE, 0, support vector machine, 0.001000, 0.702667 
