                !--TOO MANY VARIABLES, TOO SLOW, COULD NOT BE FINISHED--!

FEATURE,VOCAB_SIZE,FEATURE_STEP_SIZE,STEP_SIZE,COLOUR_SPACE,CLASSIFIER,k/Lambda,accuracy
spatial pyramid, 10, 5, 5, RGB, nearest neighbor, 0.000050, 0.404000 
spatial pyramid, 10, 5, 5, RGB, nearest neighbor, 0.000050, 0.406667 
spatial pyramid, 10, 5, 5, RGB, nearest neighbor, 0.000050, 0.410000 
spatial pyramid, 10, 10, 5, RGB, support vector machine, 10.000000, 0.164000 
spatial pyramid, 10, 10, 5, RGB, support vector machine, 1.000000, 0.177333 
spatial pyramid, 10, 10, 5, RGB, support vector machine, 0.100000, 0.122000 
spatial pyramid, 10, 10, 5, RGB, support vector machine, 0.010000, 0.153333 
spatial pyramid, 10, 10, 5, RGB, support vector machine, 0.001000, 0.184667 
spatial pyramid, 10, 10, 5, RGB, support vector machine, 0.000100, 0.256667 
spatial pyramid, 10, 10, 5, RGB, support vector machine, 0.000010, 0.108667 
spatial pyramid, 10, 10, 5, RGB, support vector machine, 0.000110, 0.108667 
spatial pyramid, 10, 10, 5, RGB, support vector machine, 0.000010, 0.119333 
spatial pyramid, 10, 10, 5, RGB, support vector machine, 0.000020, 0.104000 
spatial pyramid, 10, 10, 5, RGB, support vector machine, 0.000030, 0.266000 
spatial pyramid, 10, 10, 5, RGB, support vector machine, 0.000040, 0.212000 
spatial pyramid, 10, 10, 5, RGB, support vector machine, 0.000050, 0.204667 
spatial pyramid, 10, 10, 5, RGB, nearest neighbor, 0.000050, 0.327333 
spatial pyramid, 10, 10, 5, RGB, nearest neighbor, 0.000050, 0.311333 
spatial pyramid, 10, 10, 5, RGB, nearest neighbor, 0.000050, 0.327333 
spatial pyramid, 10, 10, 5, RGB, nearest neighbor, 0.000050, 0.347333 
spatial pyramid, 10, 10, 5, RGB, nearest neighbor, 0.000050, 0.352667 
spatial pyramid, 10, 10, 5, RGB, nearest neighbor, 0.000050, 0.368667 
spatial pyramid, 10, 10, 5, RGB, nearest neighbor, 0.000050, 0.378667 
spatial pyramid, 10, 10, 5, RGB, nearest neighbor, 0.000050, 0.380000 
spatial pyramid, 10, 10, 5, RGB, nearest neighbor, 0.000050, 0.376667 
spatial pyramid, 10, 10, 5, RGB, nearest neighbor, 0.000050, 0.377333 
spatial pyramid, 10, 10, 5, RGB, nearest neighbor, 0.000050, 0.374667 
spatial pyramid, 10, 10, 5, RGB, nearest neighbor, 0.000050, 0.373333 
spatial pyramid, 10, 10, 5, RGB, nearest neighbor, 0.000050, 0.378000 
spatial pyramid, 10, 10, 5, RGB, nearest neighbor, 0.000050, 0.382000 
spatial pyramid, 10, 10, 5, RGB, nearest neighbor, 0.000050, 0.392000 
spatial pyramid, 10, 15, 5, RGB, support vector machine, 10.000000, 0.129333 
spatial pyramid, 10, 15, 5, RGB, support vector machine, 1.000000, 0.148000 
spatial pyramid, 10, 15, 5, RGB, support vector machine, 0.100000, 0.109333 
spatial pyramid, 10, 15, 5, RGB, support vector machine, 0.010000, 0.283333 
spatial pyramid, 10, 15, 5, RGB, support vector machine, 0.001000, 0.190667 
spatial pyramid, 10, 15, 5, RGB, support vector machine, 0.000100, 0.107333 
spatial pyramid, 10, 15, 5, RGB, support vector machine, 0.000010, 0.082000 
spatial pyramid, 10, 15, 5, RGB, support vector machine, 0.000110, 0.142667 
spatial pyramid, 10, 15, 5, RGB, support vector machine, 0.000010, 0.139333 
spatial pyramid, 10, 15, 5, RGB, support vector machine, 0.000020, 0.114667 
spatial pyramid, 10, 15, 5, RGB, support vector machine, 0.000030, 0.178667 
spatial pyramid, 10, 15, 5, RGB, support vector machine, 0.000040, 0.121333 
spatial pyramid, 10, 15, 5, RGB, support vector machine, 0.000050, 0.180667 
spatial pyramid, 10, 15, 5, RGB, nearest neighbor, 0.000050, 0.299333 
spatial pyramid, 10, 15, 5, RGB, nearest neighbor, 0.000050, 0.289333 
spatial pyramid, 10, 15, 5, RGB, nearest neighbor, 0.000050, 0.292000 
spatial pyramid, 10, 15, 5, RGB, nearest neighbor, 0.000050, 0.328000 
spatial pyramid, 10, 15, 5, RGB, nearest neighbor, 0.000050, 0.341333 
spatial pyramid, 10, 15, 5, RGB, nearest neighbor, 0.000050, 0.341333 
spatial pyramid, 10, 15, 5, RGB, nearest neighbor, 0.000050, 0.358000 
spatial pyramid, 10, 15, 5, RGB, nearest neighbor, 0.000050, 0.356667 
spatial pyramid, 10, 15, 5, RGB, nearest neighbor, 0.000050, 0.373333 
spatial pyramid, 10, 15, 5, RGB, nearest neighbor, 0.000050, 0.378667 
spatial pyramid, 10, 15, 5, RGB, nearest neighbor, 0.000050, 0.380667 
spatial pyramid, 10, 15, 5, RGB, nearest neighbor, 0.000050, 0.383333 
spatial pyramid, 10, 15, 5, RGB, nearest neighbor, 0.000050, 0.374000 
spatial pyramid, 10, 15, 5, RGB, nearest neighbor, 0.000050, 0.372000 
spatial pyramid, 10, 15, 5, RGB, nearest neighbor, 0.000050, 0.376667 
spatial pyramid, 10, 5, 10, GRAYSCALE, support vector machine, 10.000000, 0.109333 
spatial pyramid, 10, 5, 10, GRAYSCALE, support vector machine, 1.000000, 0.218667 
spatial pyramid, 10, 5, 10, GRAYSCALE, support vector machine, 0.100000, 0.176667 
spatial pyramid, 10, 5, 10, GRAYSCALE, support vector machine, 0.010000, 0.096000 
spatial pyramid, 10, 5, 10, GRAYSCALE, support vector machine, 0.001000, 0.242667 
spatial pyramid, 10, 5, 10, GRAYSCALE, support vector machine, 0.000100, 0.171333 
spatial pyramid, 10, 5, 10, GRAYSCALE, support vector machine, 0.000010, 0.214667 
spatial pyramid, 10, 5, 10, GRAYSCALE, support vector machine, 0.000110, 0.153333 
spatial pyramid, 10, 5, 10, GRAYSCALE, support vector machine, 0.000010, 0.272667 
spatial pyramid, 10, 5, 10, GRAYSCALE, support vector machine, 0.000020, 0.268000 
spatial pyramid, 10, 5, 10, GRAYSCALE, support vector machine, 0.000030, 0.114000 
spatial pyramid, 10, 5, 10, GRAYSCALE, support vector machine, 0.000040, 0.084667 
spatial pyramid, 10, 5, 10, GRAYSCALE, support vector machine, 0.000050, 0.068667 
spatial pyramid, 10, 5, 10, GRAYSCALE, nearest neighbor, 0.000050, 0.380000 
spatial pyramid, 10, 5, 10, GRAYSCALE, nearest neighbor, 0.000050, 0.354667 
spatial pyramid, 10, 5, 10, GRAYSCALE, nearest neighbor, 0.000050, 0.349333 
spatial pyramid, 10, 5, 10, GRAYSCALE, nearest neighbor, 0.000050, 0.378000 
spatial pyramid, 10, 5, 10, GRAYSCALE, nearest neighbor, 0.000050, 0.398000 
spatial pyramid, 10, 5, 10, GRAYSCALE, nearest neighbor, 0.000050, 0.414667 
spatial pyramid, 10, 5, 10, GRAYSCALE, nearest neighbor, 0.000050, 0.412667 
spatial pyramid, 10, 5, 10, GRAYSCALE, nearest neighbor, 0.000050, 0.416667 
spatial pyramid, 10, 5, 10, GRAYSCALE, nearest neighbor, 0.000050, 0.420667 
spatial pyramid, 10, 5, 10, GRAYSCALE, nearest neighbor, 0.000050, 0.417333 
spatial pyramid, 10, 5, 10, GRAYSCALE, nearest neighbor, 0.000050, 0.416000 
spatial pyramid, 10, 5, 10, GRAYSCALE, nearest neighbor, 0.000050, 0.417333 
spatial pyramid, 10, 5, 10, GRAYSCALE, nearest neighbor, 0.000050, 0.416667 
spatial pyramid, 10, 5, 10, GRAYSCALE, nearest neighbor, 0.000050, 0.412000 
spatial pyramid, 10, 5, 10, GRAYSCALE, nearest neighbor, 0.000050, 0.418667 
spatial pyramid, 10, 10, 10, GRAYSCALE, support vector machine, 10.000000, 0.263333 
spatial pyramid, 10, 10, 10, GRAYSCALE, support vector machine, 1.000000, 0.308000 
spatial pyramid, 10, 10, 10, GRAYSCALE, support vector machine, 0.100000, 0.212667 
spatial pyramid, 10, 10, 10, GRAYSCALE, support vector machine, 0.010000, 0.275333 
spatial pyramid, 10, 10, 10, GRAYSCALE, support vector machine, 0.001000, 0.194667 
spatial pyramid, 10, 10, 10, GRAYSCALE, support vector machine, 0.000100, 0.127333 
spatial pyramid, 10, 10, 10, GRAYSCALE, support vector machine, 0.000010, 0.170667 
spatial pyramid, 10, 10, 10, GRAYSCALE, support vector machine, 0.000110, 0.147333 
spatial pyramid, 10, 10, 10, GRAYSCALE, support vector machine, 0.000010, 0.180667 
spatial pyramid, 10, 10, 10, GRAYSCALE, support vector machine, 0.000020, 0.186667 
spatial pyramid, 10, 10, 10, GRAYSCALE, support vector machine, 0.000030, 0.164000 
spatial pyramid, 10, 10, 10, GRAYSCALE, support vector machine, 0.000040, 0.104667 
spatial pyramid, 10, 10, 10, GRAYSCALE, support vector machine, 0.000050, 0.282000 
spatial pyramid, 10, 10, 10, GRAYSCALE, nearest neighbor, 0.000050, 0.354000 
spatial pyramid, 10, 10, 10, GRAYSCALE, nearest neighbor, 0.000050, 0.336000 
