FEATURE,VOCAB_SIZE,FEATURE_STEP_SIZE,STEP_SIZE,COLOUR_SPACE,CLASSIFIER,k/Lambda,accuracy
spatial pyramid, 10, 5, 10, GRAYSCALE, support vector machine, 1.000000, 0.122000 
spatial pyramid, 10, 5, 10, GRAYSCALE, support vector machine, 0.100000, 0.216000 
spatial pyramid, 10, 5, 10, GRAYSCALE, support vector machine, 0.010000, 0.076667 
spatial pyramid, 10, 5, 10, GRAYSCALE, support vector machine, 0.001000, 0.183333 
spatial pyramid, 10, 5, 10, GRAYSCALE, support vector machine, 0.000100, 0.200667 
spatial pyramid, 10, 5, 10, GRAYSCALE, support vector machine, 0.000010, 0.211333 
spatial pyramid, 10, 5, 10, GRAYSCALE, support vector machine, 0.000110, 0.196667 
spatial pyramid, 10, 5, 10, GRAYSCALE, support vector machine, 0.000010, 0.170667 
spatial pyramid, 10, 5, 10, GRAYSCALE, support vector machine, 0.000020, 0.167333 
spatial pyramid, 10, 5, 10, GRAYSCALE, support vector machine, 0.000030, 0.162667 
spatial pyramid, 10, 5, 10, GRAYSCALE, support vector machine, 0.000040, 0.194667 
spatial pyramid, 10, 5, 10, GRAYSCALE, support vector machine, 0.000050, 0.221333 
spatial pyramid, 10, 5, 10, GRAYSCALE, nearest neighbor, 1.000000, 0.360000 
spatial pyramid, 10, 5, 10, GRAYSCALE, nearest neighbor, 2.000000, 0.334667 
spatial pyramid, 10, 5, 10, GRAYSCALE, nearest neighbor, 3.000000, 0.356667 
spatial pyramid, 10, 5, 10, GRAYSCALE, nearest neighbor, 4.000000, 0.365333 
spatial pyramid, 10, 5, 10, GRAYSCALE, nearest neighbor, 5.000000, 0.383333 
spatial pyramid, 10, 5, 10, GRAYSCALE, nearest neighbor, 6.000000, 0.384000 
spatial pyramid, 10, 5, 10, GRAYSCALE, nearest neighbor, 7.000000, 0.384667 
spatial pyramid, 10, 5, 10, GRAYSCALE, nearest neighbor, 8.000000, 0.381333 
spatial pyramid, 10, 5, 10, GRAYSCALE, nearest neighbor, 9.000000, 0.394000 
spatial pyramid, 10, 5, 10, GRAYSCALE, nearest neighbor, 10.000000, 0.397333 
spatial pyramid, 10, 5, 10, GRAYSCALE, nearest neighbor, 11.000000, 0.404667 
spatial pyramid, 10, 5, 10, GRAYSCALE, nearest neighbor, 12.000000, 0.403333 
spatial pyramid, 10, 5, 10, GRAYSCALE, nearest neighbor, 13.000000, 0.403333 
spatial pyramid, 10, 5, 10, GRAYSCALE, nearest neighbor, 14.000000, 0.395333 
spatial pyramid, 10, 5, 10, GRAYSCALE, nearest neighbor, 15.000000, 0.402000 
---------------------------------------------------------------------------------
---------------------------------------------------------------------------------
spatial pyramid, 100, 5, 10, GRAYSCALE, support vector machine, 10.000000, 0.496000 
spatial pyramid, 100, 5, 10, GRAYSCALE, support vector machine, 1.000000, 0.514000 
spatial pyramid, 100, 5, 10, GRAYSCALE, support vector machine, 0.100000, 0.476667 
spatial pyramid, 100, 5, 10, GRAYSCALE, support vector machine, 0.010000, 0.460667 
spatial pyramid, 100, 5, 10, GRAYSCALE, support vector machine, 0.001000, 0.469333 
spatial pyramid, 100, 5, 10, GRAYSCALE, support vector machine, 0.000100, 0.512667 
spatial pyramid, 100, 5, 10, GRAYSCALE, support vector machine, 0.000010, 0.504667 
spatial pyramid, 100, 5, 10, GRAYSCALE, support vector machine, 0.000110, 0.521333 
spatial pyramid, 100, 5, 10, GRAYSCALE, support vector machine, 0.000010, 0.546667 
spatial pyramid, 100, 5, 10, GRAYSCALE, support vector machine, 0.000020, 0.495333 
spatial pyramid, 100, 5, 10, GRAYSCALE, support vector machine, 0.000030, 0.508667 
spatial pyramid, 100, 5, 10, GRAYSCALE, support vector machine, 0.000040, 0.509333 
spatial pyramid, 100, 5, 10, GRAYSCALE, support vector machine, 0.000050, 0.485333 
spatial pyramid, 100, 5, 10, GRAYSCALE, nearest neighbor, 1.000000, 0.476000 
spatial pyramid, 100, 5, 10, GRAYSCALE, nearest neighbor, 2.000000, 0.448000 
spatial pyramid, 100, 5, 10, GRAYSCALE, nearest neighbor, 3.000000, 0.476000 
spatial pyramid, 100, 5, 10, GRAYSCALE, nearest neighbor, 4.000000, 0.486667 
spatial pyramid, 100, 5, 10, GRAYSCALE, nearest neighbor, 5.000000, 0.485333 
spatial pyramid, 100, 5, 10, GRAYSCALE, nearest neighbor, 6.000000, 0.494000 
spatial pyramid, 100, 5, 10, GRAYSCALE, nearest neighbor, 7.000000, 0.495333 
spatial pyramid, 100, 5, 10, GRAYSCALE, nearest neighbor, 8.000000, 0.500667 
